clusterId,sequences,userId,sessionNum,initialQuery
5,NewQuery+NextPage+NextPage+Click1-5,19433859,6,john murtha
17,NewQuery+Click1-5+Click1-5+Click1-5+NextPage+Click11++Click11++Click11++Click11++NextPage,3545274,4,horses 20for 20sale 20nc
5,NewQuery+Click1-5,15671419,29,kubota b-7100
5,NewQuery+Click1-5+Click1-5+Click1-5,430593,22,boss
5,NewQuery+Click1-5,782267,32,load-n-go
5,NewQuery+NewQuery+Click1-5,2699535,5,seafood newberg
16,NewQuery+Click1-5,12045620,3,sample diabetic diets
17,NewQuery+RefinedQuery+Click1-5+NewQuery+Click1-5+Click1-5+Click1-5+Click6-10+Click6-10+NextPage+NextPage+Click11++Click11++Click11++Click11++Click11+,5400419,44,david blaine
5,NewQuery,10403186,21,stonewall
5,NewQuery+Click1-5,5908997,0,civilian 20marksmanship 20program
5,NewQuery+NextPage+NextPage,492888,39,decency defied
5,NewQuery+RefinedQuery+Click6-10+Click1-5+NextPage+Click11++NewQuery+NewQuery+Click1-5+NewQuery+NextPage+Click1-5+Click1-5+Click6-10+NextPage+Click1-5+Click6-10+Click1-5+Click11+,1271951,2,salary for a theraphist
5,NewQuery+Click1-5+Click1-5+NewQuery,5470448,20,career builder
19,NewQuery+Click1-5+Click1-5,6220530,6,kelly clarkson- natural woman performance
5,NewQuery,5724168,9,la pooch
6,NewQuery,2421342,43,xxx
18,NewQuery+Click1-5,10858131,14,kxci. com
5,NewQuery+Click1-5,2209050,66,ymca
5,NewQuery+Click1-5,330753,15,purses
5,NewQuery+Click1-5,9973123,0,under 21 car rentals in massachusetts
5,NewQuery+NextPage+Click1-5,20771920,2,austinchronical
5,NewQuery,9222216,1,utah state
11,NewQuery,26111,2,star88.3
5,NewQuery,1020137,20,how to tell if its a boy or a girl
5,NewQuery+NewQuery+Click1-5+Click1-5+Click1-5+NewQuery+NewQuery+Click1-5+Click1-5,7335708,65,superman 2 cover art
5,NewQuery,1519717,44,parascience international
5,NewQuery+NewQuery+Click1-5,2185601,35,discover
5,NewQuery+Click1-5+Click1-5,18101764,6,toon town
5,NewQuery+Click1-5,1624373,32,dsc security systems
5,NewQuery+Click1-5,13671187,2,dashboard
10,NewQuery+Click6-10+Click6-10+Click1-5+NewQuery+Click1-5+Click6-10+NewQuery+Click6-10,9987974,9,webmail.eheosc.org
5,NewQuery+Click1-5,23570694,30,net bank listing
5,NewQuery+NewQuery+Click1-5+Click1-5+NewQuery+Click1-5+NewQuery+NewQuery+Click1-5+Click6-10+Click6-10+Click6-10+Click6-10+Click6-10+Click6-10,1573448,19,circuit city
5,NewQuery+Click1-5+Click1-5,10792134,50,colettbles
11,NewQuery+NextPage,9036845,21,abo ben adhem
5,NewQuery+Click1-5,1606385,39,judas
14,NewQuery+NextPage+NewQuery+Click6-10+Click1-5+NewQuery+NextPage+Click1-5,8966499,32,forums.al7bar.tk
5,NewQuery,1703277,11,driver liscensing center in pennsylvania
5,NewQuery+Click1-5+Click1-5+Click1-5+Click1-5+Click1-5+Click6-10+NewQuery+Click1-5+Click11++NextPage+Click1-5+NextPage+Click1-5,949253,142,hybrid
11,NewQuery,21824944,6,comax
5,NewQuery+Click1-5,12564518,5,foxwoods ct
5,NewQuery,3544553,48,getloaded
5,NewQuery+Click1-5,23026089,0,funny t shirts
5,NewQuery+Click11++Click1-5+Click1-5+RefinedQuery+Click1-5,10731659,5,save money
5,NewQuery+Click1-5+Click1-5,2644033,13,dream interpretations
16,NewQuery+Click1-5,4535974,11,aim away messages
5,NewQuery+Click1-5+Click1-5+Click1-5+NewQuery+NewQuery+RefinedQuery,10199239,30,irregular cycles
5,NewQuery,590532,39,geographical tongue
5,NewQuery+Click1-5+Click1-5+Click1-5+Click6-10+Click6-10+Click11+,2770498,34,gold
5,NewQuery+NewQuery+NewQuery+NextPage+Click1-5+Click1-5+Click1-5+NextPage+Click11+,8499876,36,tantric
14,NewQuery+Click6-10+Click1-5+NextPage+Click11++NewQuery+Click1-5,550178,32,clandestine hoodie
5,NewQuery+NextPage+Click1-5+Click1-5,7761142,11,maui forums
17,NewQuery,1107674,10,scientoligy
5,NewQuery,2193251,12,pregled stampe
5,NewQuery+Click1-5,10869684,49,how to kill poison ivy
12,NewQuery+Click1-5,4298686,13,google
10,NewQuery+NewQuery+NextPage+Click11++Click11++NextPage+Click11++NextPage+NextPage+Click11++NextPage+NextPage+Click11++NextPage,6556467,11,water moccasin
5,NewQuery+Click1-5,8462046,7,lincoln park
17,NewQuery+NewQuery+Click1-5,13018468,13,hiddencamera
5,NewQuery+Click1-5+Click1-5,14145461,5,asstr stories
5,NewQuery+NewQuery+Click1-5+Click1-5+Click1-5+NewQuery+Click1-5+NewQuery+NewQuery+Click1-5,3140528,5,orek vaccuus
5,NewQuery+Click1-5,12616238,31,american
5,NewQuery+Click6-10+NewQuery,138583,69,wits end
11,NewQuery+NextPage+Click1-5+NewQuery+NextPage+Click1-5,731444,26,peecht herapy gor a child who speeak only a little
5,NewQuery+NextPage+NextPage,30011,35,myfloridacounty
5,NewQuery+Click1-5,6220530,3,government in sudan
18,NewQuery,11017910,52,oil felds
5,NewQuery+Click1-5,2649647,11,loveand seek
11,NewQuery,5567422,17,american spirit in the 1850
6,NewQuery+NextPage+NewQuery+Click1-5,9225363,17,international union of operating engineers
5,NewQuery+Click1-5,11439607,2,reward 660
5,NewQuery+NextPage+RefinedQuery+NewQuery+Click1-5+Click1-5+NextPage,3737705,4,family fued
5,NewQuery+Click1-5,3508857,81,americansingles
5,NewQuery+Click1-5+Click1-5,14909687,0,kingdom hearts 2
5,NewQuery+Click1-5,9987974,11,foot ball
5,NewQuery+NextPage+NewQuery+NewQuery,12697684,0,st lucia
5,NewQuery+Click1-5,2433898,32,ccs
14,NewQuery+Click1-5,4521104,4,video games
11,NewQuery+Click1-5,2002765,10,frank hodges crymes greenwood sc
5,NewQuery+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NewQuery+Click1-5+Click1-5+Click1-5+Click1-5+Click11++NewQuery+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+Click1-5,5926161,30,psp
10,NewQuery+Click1-5+Click1-5+Click1-5,3636290,38,edmaunds
6,NewQuery+Click1-5,4264584,34,organizing toddler room
5,NewQuery+Click1-5,3248016,22,everest
5,NewQuery+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NewQuery+NewQuery+Click1-5+NewQuery+Click1-5,9613095,0,diabetes
14,NewQuery,436356,73,bam margera
5,NewQuery,5078866,16,columbia house
5,NewQuery+NextPage+NextPage+Click1-5,20148623,11,party rentals
5,NewQuery+Click1-5,14759965,0,hogtied
5,NewQuery+Click1-5,8602536,40,jerry baker garden solutions
5,NewQuery+Click11+,12344153,18,virtual pet
17,NewQuery,2770498,329,oil
18,NewQuery+Click1-5,2585989,32,peterson brothers
5,NewQuery+Click1-5+NewQuery+Click1-5+Click1-5,6825880,7,taking the long way
6,NewQuery+RefinedQuery+Click1-5+Click1-5+Click1-5+Click1-5+Click1-5+Click1-5+Click6-10+Click6-10+Click6-10+Click11++NextPage+Click11++Click11++Click11++Click11++Click11++NextPage+Click11++Click11++Click11+,3992663,0,town of easton chamber of commerce
5,NewQuery+Click1-5,5094538,1,national sleep foundation
5,NewQuery+Click1-5+NextPage+Click6-10+Click11++NextPage+Click1-5+Click6-10+NextPage+NextPage+NextPage+Click6-10+Click6-10+Click1-5+RefinedQuery+NextPage+Click6-10+NextPage+Click6-10+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NewQuery+NextPage+NextPage+NextPage+Click1-5+Click1-5+Click6-10+NextPage+NextPage+NextPage+Click1-5+NextPage+NextPage+NextPage+NextPage,516944,8,j
18,NewQuery+NewQuery,1883078,64,steven biko
16,NewQuery+Click6-10,3233989,59,renal failure with heart complications
6,NewQuery+Click1-5,1673128,24,l really love to see you tonight
5,NewQuery+Click1-5+NewQuery,4248417,31,fnx boston
5,NewQuery,8458559,51,tax assesor cheektowaga ny
14,NewQuery+Click1-5,15562106,5,don rasmussen
12,NewQuery+Click1-5,2500873,95,candylist
5,NewQuery+Click1-5,2403046,99,llbean
12,NewQuery+Click6-10+NextPage+Click11++Click11++NextPage+NewQuery+NewQuery+NewQuery+NextPage+Click11++RefinedQuery+Click1-5+Click1-5,9984795,5,college rugby scores
5,NewQuery+NewQuery+RefinedQuery,7266550,51,caltrans road closures
12,NewQuery,2046517,32,cliphunter
10,NewQuery,7093650,81,mooving over seas from miami
5,NewQuery+Click1-5+NewQuery+Click1-5,4955115,28,boot camp death
5,NewQuery+NewQuery,2113091,29,j105
5,NewQuery,12881139,38,familytree
5,NewQuery+Click1-5+NewQuery+Click1-5+NewQuery+Click1-5+Click1-5,3013930,90,hmong hotties
11,NewQuery+Click1-5,7045063,1,wild partygirls
5,NewQuery+Click1-5,375510,3,ray bans
11,NewQuery,4221493,22,black decker
5,NewQuery+Click1-5,4548146,77,game pads
5,NewQuery+Click1-5+NewQuery+NewQuery+NewQuery+Click1-5+NewQuery+Click1-5,2731197,1,teacherease
5,NewQuery+NewQuery+Click1-5+Click1-5+Click1-5+Click1-5+Click6-10+NewQuery+Click1-5+NextPage+NewQuery+Click1-5,3485095,23,indiana unclaimed
5,NewQuery+NextPage+Click1-5,5994620,55,the carmel kiln company
5,NewQuery+NewQuery+Click1-5,8895324,4,the woodlands
5,NewQuery+RefinedQuery,2143840,45,jonathan cainer
5,NewQuery+Click1-5,9492118,21,space pictures
5,NewQuery,5085337,12,ct-630 vinyl
17,NewQuery+RefinedQuery+Click1-5,3881112,22,ciara
5,NewQuery,2855799,63,sports authority
5,NewQuery+RefinedQuery+NextPage+NextPage+Click6-10+NewQuery+NewQuery+NewQuery+Click1-5+Click1-5,7694160,10,gettabuckins profile
5,NewQuery+NewQuery,195551,327,men in motion dancers
5,NewQuery+Click1-5,7479459,30,gmac
5,NewQuery+Click1-5,4091207,12,creamy 20rice 20pudding
16,NewQuery+NewQuery+Click1-5,17594777,0,marijuana dna
5,NewQuery+Click1-5,2109137,49,harriet tubman
5,NewQuery+RefinedQuery,20698595,3,femta crack
16,NewQuery+Click1-5,9492118,4,zales jewelers
5,NewQuery+RefinedQuery+Click1-5+Click1-5,5107094,12,vermont studio center
5,NewQuery,6104120,14,expanation of stem cell resarch
18,NewQuery+NextPage+RefinedQuery+Click1-5,2603853,8,farscape model
5,NewQuery+NewQuery+NewQuery+NewQuery,4251582,0,credit union of dallas
5,NewQuery+NewQuery+Click1-5,8588956,10,shadows on the teche
10,NewQuery+NewQuery+RefinedQuery+Click1-5+Click1-5+Click1-5+Click1-5+Click1-5,3897680,24,dan schantzs
5,NewQuery+Click1-5+NewQuery,1866792,11,aquarium myrtle beach sc
5,NewQuery+Click1-5+NextPage+Click1-5,24151976,0,garlandisd
5,NewQuery+Click11++RefinedQuery+Click1-5+NewQuery+Click1-5+NewQuery+NextPage+Click11++NewQuery+Click1-5,752368,46,arl of des moines
5,NewQuery+Click11++Click6-10+Click6-10+NextPage+Click11++NextPage+Click11++NextPage+RefinedQuery+Click6-10+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage+NextPage,7970014,4,monstercocks pictures
5,NewQuery+Click1-5,6850636,7,teresa earnhardt bio
5,NewQuery+Click1-5+Click1-5+Click1-5,3017795,19,g.i.joes
5,NewQuery+Click1-5,796337,9,type search terms aol keywords or web addresses
18,NewQuery+RefinedQuery+Click1-5+Click1-5+NextPage,6183768,122,cg t-shirts
5,NewQuery+NewQuery+Click1-5+RefinedQuery+Click1-5+RefinedQuery+NewQuery+NewQuery+Click1-5+Click1-5+Click6-10+Click1-5+NewQuery+Click1-5,6458428,12,walmart
5,NewQuery+Click1-5,7325132,2,babies 20r 20us
16,NewQuery+NewQuery+NewQuery+NewQuery,6473038,25,cheap replica handbags
5,NewQuery,1508248,26,kinkos
17,NewQuery+NextPage+Click11++Click11++Click11+,11263758,5,sudoku
5,NewQuery,3087471,36,ridgewood elementary renton wa
5,NewQuery,1337,6,fiserv
5,NewQuery+Click1-5,6427325,42,riverview sports
5,NewQuery+Click1-5+NewQuery+Click6-10,1185719,85,urban and planning development authority for oman
5,NewQuery,2942400,14,irish jokes
5,NewQuery+NewQuery+Click11++NextPage+NewQuery+Click6-10+NewQuery+Click6-10+Click1-5+Click11++Click6-10+Click1-5,5164097,66,social security number
